sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03839-A-mifish	e03839-A-mifish	1	e03839-A-mifish_S70_L001_R1_001.fastq.gz	e03839-A-mifish_S70_L001_R2_001.fastq.gz	5705	5705	5436	5436	5334	5334	4987	4971	4971
e03839-B-mifish	e03839-B-mifish	1	e03839-B-mifish_S166_L001_R1_001.fastq.gz	e03839-B-mifish_S166_L001_R2_001.fastq.gz	7062	7062	6688	6688	6669	6669	6261	6119	6119
e03839-C-mifish	e03839-C-mifish	1	e03839-C-mifish_S262_L001_R1_001.fastq.gz	e03839-C-mifish_S262_L001_R2_001.fastq.gz	10532	10532	9822	9822	9813	9813	9558	9487	9487
e03840-A-mifish	e03840-A-mifish	1	e03840-A-mifish_S71_L001_R1_001.fastq.gz	e03840-A-mifish_S71_L001_R2_001.fastq.gz	13425	13425	12658	12658	12638	12638	12196	12096	12096
e03840-B-mifish	e03840-B-mifish	1	e03840-B-mifish_S167_L001_R1_001.fastq.gz	e03840-B-mifish_S167_L001_R2_001.fastq.gz	7008	7008	6630	6630	6606	6606	5264	5220	5220
e03840-C-mifish	e03840-C-mifish	1	e03840-C-mifish_S263_L001_R1_001.fastq.gz	e03840-C-mifish_S263_L001_R2_001.fastq.gz	10676	10676	9736	9736	9725	9725	9354	9054	9054
e03841-A-mifish	e03841-A-mifish	1	e03841-A-mifish_S72_L001_R1_001.fastq.gz	e03841-A-mifish_S72_L001_R2_001.fastq.gz	2	2	0	0	0	0	0	0	0
e03841-B-mifish	e03841-B-mifish	1	e03841-B-mifish_S168_L001_R1_001.fastq.gz	e03841-B-mifish_S168_L001_R2_001.fastq.gz	38	38	31	31	31	31	29	29	29
e03841-C-mifish	e03841-C-mifish	1	e03841-C-mifish_S264_L001_R1_001.fastq.gz	e03841-C-mifish_S264_L001_R2_001.fastq.gz	2	2	2	2	2	2	2	2	2
e03842-A-mifish	e03842-A-mifish	1	e03842-A-mifish_S73_L001_R1_001.fastq.gz	e03842-A-mifish_S73_L001_R2_001.fastq.gz	0	0	0	0	0	0	0	0	0
e03842-B-mifish	e03842-B-mifish	1	e03842-B-mifish_S169_L001_R1_001.fastq.gz	e03842-B-mifish_S169_L001_R2_001.fastq.gz	22	22	1	1	1	1	0	0	0
e03842-C-mifish	e03842-C-mifish	1	e03842-C-mifish_S265_L001_R1_001.fastq.gz	e03842-C-mifish_S265_L001_R2_001.fastq.gz	13	13	11	11	0	0	0	0	0
e03843-A-mifish	e03843-A-mifish	1	e03843-A-mifish_S74_L001_R1_001.fastq.gz	e03843-A-mifish_S74_L001_R2_001.fastq.gz	1951	1951	1841	1841	1838	1838	1796	1796	1796
e03843-B-mifish	e03843-B-mifish	1	e03843-B-mifish_S170_L001_R1_001.fastq.gz	e03843-B-mifish_S170_L001_R2_001.fastq.gz	5406	5406	5169	5169	5160	5160	5044	5044	5044
e03843-C-mifish	e03843-C-mifish	1	e03843-C-mifish_S266_L001_R1_001.fastq.gz	e03843-C-mifish_S266_L001_R2_001.fastq.gz	90	90	83	83	81	81	0	0	0
e03844-A-mifish	e03844-A-mifish	1	e03844-A-mifish_S75_L001_R1_001.fastq.gz	e03844-A-mifish_S75_L001_R2_001.fastq.gz	14	14	10	10	9	9	7	7	7
e03844-B-mifish	e03844-B-mifish	1	e03844-B-mifish_S171_L001_R1_001.fastq.gz	e03844-B-mifish_S171_L001_R2_001.fastq.gz	6332	6332	6047	6047	6036	6036	5772	5694	5694
e03844-C-mifish	e03844-C-mifish	1	e03844-C-mifish_S267_L001_R1_001.fastq.gz	e03844-C-mifish_S267_L001_R2_001.fastq.gz	731	731	674	674	231	231	1	1	1
e03845-A-mifish	e03845-A-mifish	1	e03845-A-mifish_S76_L001_R1_001.fastq.gz	e03845-A-mifish_S76_L001_R2_001.fastq.gz	415	415	388	388	375	375	0	0	0
e03845-B-mifish	e03845-B-mifish	1	e03845-B-mifish_S172_L001_R1_001.fastq.gz	e03845-B-mifish_S172_L001_R2_001.fastq.gz	5679	5679	5423	5423	5406	5406	4927	4927	4927
e03845-C-mifish	e03845-C-mifish	1	e03845-C-mifish_S268_L001_R1_001.fastq.gz	e03845-C-mifish_S268_L001_R2_001.fastq.gz	5327	5327	4975	4975	4956	4956	4530	4530	4530
e03846-A-mifish	e03846-A-mifish	1	e03846-A-mifish_S77_L001_R1_001.fastq.gz	e03846-A-mifish_S77_L001_R2_001.fastq.gz	11015	11015	10505	10505	10496	10496	10323	10323	10305
