sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03828-B-rkfish	e03828-B-rkfish	1	e03828-B-rkfish_S443_L001_R1_001.fastq.gz	e03828-B-rkfish_S443_L001_R2_001.fastq.gz	3453	3453	3338	3338	2628	2628	204	204	204
e03828-C-rkfish	e03828-C-rkfish	1	e03828-C-rkfish_S539_L001_R1_001.fastq.gz	e03828-C-rkfish_S539_L001_R2_001.fastq.gz	3003	3003	2889	2889	2493	2493	61	61	61
e03829-A-rkfish	e03829-A-rkfish	1	e03829-A-rkfish_S348_L001_R1_001.fastq.gz	e03829-A-rkfish_S348_L001_R2_001.fastq.gz	484	484	470	470	399	399	0	0	0
e03829-B-rkfish	e03829-B-rkfish	1	e03829-B-rkfish_S444_L001_R1_001.fastq.gz	e03829-B-rkfish_S444_L001_R2_001.fastq.gz	6998	6998	6719	6719	5273	5273	280	280	280
e03829-C-rkfish	e03829-C-rkfish	1	e03829-C-rkfish_S540_L001_R1_001.fastq.gz	e03829-C-rkfish_S540_L001_R2_001.fastq.gz	5461	5461	5289	5289	4491	4491	252	252	252
e03830-A-rkfish	e03830-A-rkfish	1	e03830-A-rkfish_S349_L001_R1_001.fastq.gz	e03830-A-rkfish_S349_L001_R2_001.fastq.gz	6706	6706	6119	6119	3573	3573	3532	3532	3532
e03830-B-rkfish	e03830-B-rkfish	1	e03830-B-rkfish_S445_L001_R1_001.fastq.gz	e03830-B-rkfish_S445_L001_R2_001.fastq.gz	5220	5220	5069	5069	3143	3143	437	430	430
e03830-C-rkfish	e03830-C-rkfish	1	e03830-C-rkfish_S541_L001_R1_001.fastq.gz	e03830-C-rkfish_S541_L001_R2_001.fastq.gz	4858	4858	4721	4721	2867	2867	157	157	157
e03831-A-rkfish	e03831-A-rkfish	1	e03831-A-rkfish_S350_L001_R1_001.fastq.gz	e03831-A-rkfish_S350_L001_R2_001.fastq.gz	9972	9972	9635	9635	8041	8041	0	0	0
e03831-B-rkfish	e03831-B-rkfish	1	e03831-B-rkfish_S446_L001_R1_001.fastq.gz	e03831-B-rkfish_S446_L001_R2_001.fastq.gz	8716	8716	8463	8463	7109	7109	377	377	377
e03831-C-rkfish	e03831-C-rkfish	1	e03831-C-rkfish_S542_L001_R1_001.fastq.gz	e03831-C-rkfish_S542_L001_R2_001.fastq.gz	7052	7052	6870	6870	5677	5677	0	0	0
